"actor_id","film_id"
"1","1"
"1","23"
"1","25"
"1","106"
"1","140"
"1","166"
"1","277"
"1","361"
"1","438"
"1","499"
"1","506"
"1","509"
"1","605"
"1","635"
"1","749"
"1","832"
"1","939"
"1","970"
"1","980"
"2","3"
"2","31"
"2","47"
"2","105"
"2","132"
"2","145"
"2","226"
"2","249"
"2","314"
"2","321"
"2","357"
"2","369"
"2","399"
"2","458"
"2","481"
"2","485"
"2","518"
"2","540"
"2","550"
"2","555"
"2","561"
"2","742"
"2","754"
"2","811"
"2","958"
"3","17"
"3","40"
"3","42"
"3","87"
"3","111"
"3","185"
"3","289"
"3","329"
"3","336"
"3","341"
"3","393"
"3","441"
"3","453"
"3","480"
"3","539"
"3","618"
"3","685"
"3","827"
"3","966"
"3","967"
"3","971"
"3","996"
"4","23"
"4","25"
"4","56"
"4","62"
"4","79"
"4","87"
"4","355"
"4","379"
"4","398"
"4","463"
"4","490"
"4","616"
"4","635"
"4","691"
"4","712"
"4","714"
"4","721"
"4","798"
"4","832"
"4","858"
"4","909"
"4","924"
"5","19"
"5","54"
"5","85"
"5","146"
"5","171"
"5","172"
"5","202"
"5","203"
"5","286"
"5","288"
"5","316"
"5","340"