"inventory_id","film_id"
"1","1"
"2","1"
"3","1"
"4","1"
"5","1"
"6","1"
"7","1"
"8","1"
"9","2"
"10","2"
"11","2"
"12","3"
"13","3"
"14","3"
"15","3"
"16","4"
"17","4"
"18","4"
"19","4"
"20","4"
"21","4"
"22","4"
"23","5"
"24","5"
"25","5"
"26","6"
"27","6"
"28","6"
"29","6"
"30","6"
"31","6"
"32","7"
"33","7"
"34","7"
"35","7"
"36","7"
"37","8"
"38","8"
"39","8"
"40","8"
"41","9"
"42","9"
"43","9"
"44","9"
"45","9"
"46","10"
"47","10"
"48","10"
"49","10"
"50","10"
"51","10"
"52","10"
"53","11"
"54","11"
"55","11"
"56","11"
"57","11"
"58","11"
"59","11"
"60","12"
"61","12"
"62","12"
"63","12"
"64","12"
"65","12"
"66","12"
"67","13"
"68","13"
"69","13"
"70","13"
"71","15"
"72","15"
"73","15"
"74","15"
"75","15"
"76","15"
"77","16"
"78","16"
"79","16"
"80","16"
"81","17"
"82","17"
"83","17"
"84","17"
"85","17"
"86","17"
"87","18"
"88","18"
"89","18"
"90","18"
"91","18"
"92","18"
"93","19"
"94","19"
"95","19"
"96","19"
"97","19"
"98","19"
"99","20"
"100","20"